ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-24 12:15:21.555769,-57.32298793897989,-67.24487591594394,-48.58734651287135,-57.32298793897989,-57.32298793897989,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298793897989
2024-06-24 12:15:21.556174,-57.32298793492217,-67.06074768894516,-48.47475118865602,-57.32298793492217,-57.32298793492217,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298793492217
2024-06-24 12:15:21.556578,-57.32298793087445,-66.9319000272971,-47.817798879011534,-57.32298793087445,-57.32298793087445,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298793087445
2024-06-24 12:15:21.557046,-57.322987926185505,-67.12482472178483,-47.98926014680198,-57.322987926185505,-57.322987926185505,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987926185505
2024-06-24 12:15:21.557594,-57.32298792069504,-67.30166942749653,-47.29240665048678,-57.32298792069504,-57.32298792069504,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298792069504
2024-06-24 12:15:21.558983,-57.322987906778515,-66.41746222349346,-47.86149627811136,-57.322987906778515,-57.322987906778515,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987906778515
2024-06-24 12:15:21.559978,-57.32298789680951,-67.06822836392881,-48.02223318919063,-57.32298789680951,-57.32298789680951,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298789680951
2024-06-24 12:15:21.560666,-57.322987889916234,-66.40392513269195,-48.305204942063554,-57.322987889916234,-57.322987889916234,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987889916234
2024-06-24 12:15:21.561223,-57.32298788433548,-67.44190658230467,-47.39915042904305,-57.32298788433548,-57.32298788433548,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298788433548
2024-06-24 12:15:21.561774,-57.32298787881484,-66.76082512236117,-48.07471431135886,-57.32298787881484,-57.32298787881484,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298787881484
2024-06-24 12:15:21.562394,-57.32298787260288,-66.61468633082913,-47.28810186959844,-57.32298787260288,-57.32298787260288,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298787260288
2024-06-24 12:15:21.562859,-57.3229878679439,-66.83035366848623,-47.901795869933835,-57.3229878679439,-57.3229878679439,0.0,0.0,0.0,0.0,0.0,0.0,-57.3229878679439
2024-06-24 12:15:21.563308,-57.322987863445235,-66.79881893033865,-48.11333175305598,-57.322987863445235,-57.322987863445235,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987863445235
2024-06-24 12:15:21.563710,-57.32298785941749,-67.049159942871,-47.4573528498399,-57.32298785941749,-57.32298785941749,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298785941749
2024-06-24 12:15:21.564163,-57.32298785487874,-66.84180401583569,-47.53022599679404,-57.32298785487874,-57.32298785487874,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298785487874
2024-06-24 12:15:21.564651,-57.322987849989325,-67.639873837446,-48.39014836563956,-57.322987849989325,-57.322987849989325,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987849989325
2024-06-24 12:15:21.565050,-57.32298784599162,-66.69957467142774,-48.250700958099806,-57.32298784599162,-57.32298784599162,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298784599162
2024-06-24 12:15:21.565486,-57.3229878416232,-66.89544569710898,-48.11789346116231,-57.3229878416232,-57.3229878416232,0.0,0.0,0.0,0.0,0.0,0.0,-57.3229878416232
2024-06-24 12:15:21.565922,-57.32298783725479,-67.33048077209286,-48.10900944372098,-57.32298783725479,-57.32298783725479,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298783725479
2024-06-24 12:15:21.566393,-57.3229878325357,-66.57446441134185,-48.01045041949329,-57.3229878325357,-57.3229878325357,0.0,0.0,0.0,0.0,0.0,0.0,-57.3229878325357
2024-06-24 12:15:21.566857,-57.32298782788674,-66.46371940270137,-48.12947570326366,-57.32298782788674,-57.32298782788674,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298782788674
2024-06-24 12:15:21.567310,-57.322987823348,-66.27997159177373,-47.84467883773257,-57.322987823348,-57.322987823348,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987823348
2024-06-24 12:15:21.567762,-57.32298781881927,-66.62686206570055,-48.03360483122565,-57.32298781881927,-57.32298781881927,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298781881927
2024-06-24 12:15:21.568208,-57.32298781435067,-66.44753547899482,-47.53761987768566,-57.32298781435067,-57.32298781435067,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298781435067
2024-06-24 12:15:21.568765,-57.322987808769916,-67.16070282287104,-48.14013221929539,-57.322987808769916,-57.322987808769916,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987808769916
2024-06-24 12:15:21.569238,-57.32298780403079,-67.06340798758849,-47.444176948703294,-57.32298780403079,-57.32298780403079,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298780403079
2024-06-24 12:15:21.569708,-57.322987799321716,-66.94489891118126,-47.59823553495121,-57.322987799321716,-57.322987799321716,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987799321716
2024-06-24 12:15:21.570129,-57.32298779510359,-66.97916303897502,-47.547753335622716,-57.32298779510359,-57.32298779510359,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298779510359
2024-06-24 12:15:21.570562,-57.32298779076524,-66.49207819294855,-47.775171501180886,-57.32298779076524,-57.32298779076524,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298779076524
2024-06-24 12:15:21.570961,-57.322987786767534,-66.28768316536858,-47.91671630946289,-57.322987786767534,-57.322987786767534,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987786767534
2024-06-24 12:15:21.571449,-57.32298778187811,-66.68367720125224,-47.612266739274354,-57.32298778187811,-57.32298778187811,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298778187811
2024-06-24 12:15:21.571932,-57.32298777703879,-66.07973115012207,-48.444238497033126,-57.32298777703879,-57.32298777703879,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298777703879
2024-06-24 12:25:37.321381,-57.31681839822825,-66.48856511048015,-48.612827625993056,-57.31681839822825,-57.31681839822825,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681839822825
2024-06-24 12:25:37.323226,-57.316818379742635,-67.02926963716779,-48.301201188348294,-57.316818379742635,-57.316818379742635,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818379742635
2024-06-24 12:25:37.323777,-57.316818374222,-66.62924448603073,-47.324359594251355,-57.316818374222,-57.316818374222,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818374222
2024-06-24 12:25:37.324223,-57.31681836975339,-66.24673806212803,-47.93502853107289,-57.31681836975339,-57.31681836975339,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681836975339
2024-06-24 12:25:37.324642,-57.31681836555531,-67.10188401305669,-47.71781279084574,-57.31681836555531,-57.31681836555531,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681836555531
2024-06-24 12:25:37.325056,-57.31681836140731,-67.11415698679932,-47.93690150759177,-57.31681836140731,-57.31681836140731,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681836140731
